major,minor,0,1,2,3,4,5,6,7,8,9
0,0,-11006514.09576509,-11006486.314459529,-11006456.151899206,-11006483.13945318,-11007107.02016811,-11006631.430675257,-11006763.72260651,-11006734.618381634,-11006612.085721452,-11006623.991995266
0,1,2237173.7350268736,2237152.3037340157,2237143.5724665485,2237205.4850903787,2236842.2435790375,2236634.5452469736,2236809.1705962196,2236769.483016845,2236726.415878944,2236685.405380264
1,0,-11006493.049820507,-11006464.342291687,-11006435.910454007,-11006426.939017415,-11007069.770340756,-11006596.308697885,-11006733.935211048,-11006706.633550022,-11006586.396367881,-11006596.5129591
1,1,2237168.1227749884,2237146.5718641467,2237138.972138103,2237190.608504437,2236834.3421005122,2236625.439549133,2236803.4968066067,2236763.8860505223,2236718.597380042,2236677.7112501413
2,0,-11006499.39983321,-11006469.104801219,-11006439.879211947,-11006434.082781702,-11007079.030775938,-11006605.569133068,-11006739.226888297,-11006709.279388646,-11006595.65680307,-11006605.77339429
2,1,2237144.3102273606,2237128.31557763,2237121.5096031725,2237163.620950468,2236790.685763195,2236589.7207277007,2236775.7155010514,2236750.6568574086,2236688.1702358574,2236644.6382673234
3,0,-11006520.445777792,-11006491.076969054,-11006460.120657139,-11006490.28321747,-11007116.280603293,-11006640.691110445,-11006769.01428376,-11006737.264220258,-11006621.346156642,-11006633.252430456
3,1,2237149.922479257,2237134.047447499,2237126.109931633,2237178.4975364134,2236798.587241724,2236598.826425541,2236781.389290668,2236756.253823716,2236695.9887347594,2236652.332397446
4,0,-11006514.09576509,-11006486.314459529,-11006456.151899206,-11006483.13945318,-11007107.02016811,-11006631.430675257,-11006763.72260651,-11006734.618381634,-11006612.085721452,-11006623.991995266
4,1,2237173.7350268736,2237152.3037340157,2237143.5724665485,2237205.4850903787,2236842.2435790375,2236634.5452469736,2236809.1705962196,2236769.483016845,2236726.415878944,2236685.405380264
